Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World
Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,0.03,0.01,0.07,0.01
Berserk and the Band of the Hawk,PS4,2016,Action,Tecmo Koei,0.04,0.01,0.05,0.01
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,Activision,0.07,0.02,0,0.02
God Eater 2: Rage Burst,PS4,2015,Role-Playing,Namco Bandai Games,0,0.01,0.1,0
Metal Gear Solid V: The Definitive Experience,PS4,2016,Action,Konami Digital Entertainment,0.05,0.03,0.02,0.02
The Crew: Wild Run,PS4,2015,Action,Ubisoft,0,0.1,0,0.02
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0,0.1,0,0.02
Toukiden 2,PS4,2016,Action,Tecmo Koei,0.01,0,0.1,0
The Idolmaster: Platinum Stars,PS4,2016,Simulation,Namco Bandai Games,0,0,0.11,0
SD Gundam G Generation Genesis,PS4,2016,Strategy,Namco Bandai Games,0,0,0.11,0
Ultimate Marvel vs. Capcom 3,PS4,2017,Fighting,Capcom,0.08,0,0.01,0.02
Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015,Action,D3Publisher,0,0,0.11,0
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0,0,0.11,0
Adventure Time: Finn & Jake Investigations,PS4,2015,Action,Little Orbit,0.04,0.05,0,0.02
Gundam Breaker 3,PS4,2016,Action,Namco Bandai Games,0,0,0.11,0
The Witch and the Hundred Knight,PS4,2015,Role-Playing,Nippon Ichi Software,0.03,0.01,0.06,0.01
Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,PQube,0.03,0,0.07,0.01
Valentino Rossi: The Game,PS4,2016,Racing,Namco Bandai Games,0.04,0.05,0,0.02
The Walking Dead - The Telltale Series: A New Frontier,PS4,2017,Adventure,Warner Bros. Interactive Entertainment,0.06,0.02,0,0.02
Mega Man Legacy Collection,PS4,2016,Platform,Capcom,0.08,0,0,0.02
